Category,Sub-Category,Example Question,Answer
Student Life,Transportation,What should I do if the bus doesn’t arrive?,Contact the transport office hotline.
Student Life,Transportation,How do I know which shuttle goes where?,Routes and maps are shown on the transport notice board.
Student Life,Transportation,Is carpooling allowed?,"Yes, students often carpool informally."
Student Life,Transportation,Can I bring an electric scooter?,Check with campus security for regulations.
Student Life,Dining,What cafes are open after 10 PM?,Some cafés and convenience stores remain open late.
Student Life,Dining,Where is the main cafeteria?,It is located near the central academic area.
Student Life,Dining,Are there halal dining options?,"Yes, all campus cafés follow halal guidelines."
Student Life,Dining,Is there vegetarian food on campus?,Several cafés offer vegetarian meals.
Student Life,Dining,How do I know today’s cafeteria menu?,Some cafés post daily menus on social media.
Student Life,Dining,Are food prices student-friendly?,Most stalls offer affordable student pricing.
Student Life,Dining,Can I bring outside food into the cafeteria?,"Yes, it is usually allowed."
Student Life,Dining,Are microwaves available for reheating food?,Some cafés provide microwaves for student use.
Student Life,Dining,Where can I get breakfast early in the morning?,Certain cafés open early for breakfast.
Student Life,Dining,Does UTP have fast-food outlets?,Some fast-food options may be available in the commercial area.
Student Life,Dining,Where can I find vending machines?,Vending machines are located in academic and residential areas.
Student Life,Dining,Is water refill available on campus?,"Yes, refill stations are placed around campus."
Student Life,Dining,Are there cafés near the library?,"Yes, several cafés are within walking distance."
Student Life,Dining,What are the busiest dining hours?,Lunch hours are typically the busiest.
Student Life,Dining,Do cafés accept cashless payments?,Many cafés accept e-wallets and card payments.
Student Life,Dining,Can I order food delivery to campus?,"Yes, delivery riders can enter designated areas."
Student Life,Dining,Where can I find a quiet place to eat?,Some cafés have designated quiet dining sections.
Student Life,Dining,Are there healthy food options?,Many stalls offer balanced meal choices.
Student Life,Dining,Which café serves Western food?,Several stalls offer Western-style meals.
Student Life,Dining,Can I book a café for a club event?,Some cafés allow event bookings with prior approval.
Student Life,Dining,Is the cafeteria open on weekends?,Selected stalls remain open during weekends.
Student Life,Dining,Are drinks refillable?,It depends on the café.
Student Life,Dining,Is there a place to eat late at night?,Some convenience stores and vending machines are open late.
Student Life,Dining,Where can I eat if I have food allergies?,Ask cafés about ingredients before ordering.
Student Life,Dining,Are there dessert shops on campus?,Some cafés sell desserts and snacks.
Student Life,Dining,Can I get packed meals?,"Yes, many cafés offer takeaway."
Student Life,Dining,Where can I find snacks between classes?,Vending machines and small kiosks sell snacks.
Student Life,Dining,Are the cafés air-conditioned?,"Some cafés are air-conditioned, others are open-air."
Student Life,Dining,Can I bring my own reusable container?,"Yes, most cafés encourage reusable containers."
Student Life,Dining,Are there water dispensers in academic blocks?,"Yes, water dispensers are available in most buildings."
Student Life,Dining,Which café serves the cheapest meals?,Prices vary by stall and menu.
Student Life,Dining,Is there a student-run café?,Some semesters feature student-run food projects.
Student Life,Dining,How do I give feedback about a café?,Contact the café management or student services.
IT & Technical Support,Access & Connectivity,How do I reset my UTP Wi-Fi password?,Go to IT portal and reset it.
IT & Technical Support,Access & Connectivity,Why can't I connect to the campus Wi-Fi on my laptop?,Check credentials and network settings.
IT & Technical Support,Access & Connectivity,How can I access the UTP VPN from home?,Install VPN client and log in.
IT & Technical Support,Access & Connectivity,What should I do if my Wi-Fi connection keeps dropping?,Restart device or contact IT.
IT & Technical Support,Access & Connectivity,Can I use my phone to connect to the UTP network?,"Yes, register it in IT portal."
IT & Technical Support,Access & Connectivity,How do I recover my forgotten student account password?,Use “Forgot Password” link.
IT & Technical Support,Access & Connectivity,Why am I unable to log in to my email on my mobile phone?,Check account settings.
IT & Technical Support,Access & Connectivity,How many devices can I connect to UTP Wi-Fi at once?,Usually up to 3 devices.
IT & Technical Support,Access & Connectivity,Is there a way to check my Wi-Fi usage on campus?,Check usage in IT portal.
IT & Technical Support,Access & Connectivity,Can I access the UTP network using a gaming console?,Register the device in IT portal.
IT & Technical Support,Access & Connectivity,How do I connect to the campus Wi-Fi on a MacBook?,Follow IT portal instructions.
IT & Technical Support,Access & Connectivity,Can I access Wi-Fi in all areas of the campus?,Most areas have coverage.
IT & Technical Support,Access & Connectivity,How do I set up my UTP email on Outlook?,Add account and enter credentials.
IT & Technical Support,Access & Connectivity,What is Eduroam and how can I use it at UTP?,Register device and connect.
IT & Technical Support,Access & Connectivity,How do I change my Wi-Fi password?,Change it in IT portal.
IT & Technical Support,Access & Connectivity,Why am I getting “authentication failed” when connecting to Wi-Fi?,Check username and password.
IT & Technical Support,Access & Connectivity,How do I report Wi-Fi issues on campus?,Contact IT helpdesk.
IT & Technical Support,Access & Connectivity,Can I use my own router to connect to campus network?,"No, only approved devices allowed."
IT & Technical Support,Access & Connectivity,How do I register my device for Wi-Fi access?,Use IT portal device registration.
IT & Technical Support,Access & Connectivity,How long does it take to activate Wi-Fi for a new device?,Usually a few minutes.
IT & Technical Support,Access & Connectivity,"My Wi-Fi is slow in certain areas, what can I do?",Move closer or contact IT.
IT & Technical Support,Access & Connectivity,Can I connect to Wi-Fi during exams?,"Yes, with registered devices."
IT & Technical Support,Access & Connectivity,How do I disconnect a device from campus Wi-Fi?,Remove it in IT portal.
IT & Technical Support,Access & Connectivity,Can I use multiple accounts on the same device?,"No, one account per device."
IT & Technical Support,Access & Connectivity,How do I fix Wi-Fi “limited access” error?,Check credentials or contact IT.
IT & Technical Support,Access & Connectivity,Is campus Wi-Fi free?,"Yes, for students."
IT & Technical Support,Access & Connectivity,How do I enable VPN on mobile?,Install app and log in.
IT & Technical Support,Access & Connectivity,"My Wi-Fi disconnects at night, why?",Maintenance or signal issue.
IT & Technical Support,Access & Connectivity,Can visitors use UTP Wi-Fi?,Only via guest account.
IT & Technical Support,Access & Connectivity,How do I switch from UTP Wi-Fi to Eduroam?,Connect with Eduroam credentials.
IT & Technical Support,Access & Connectivity,Can I save Wi-Fi password on campus devices?,"Yes, on personal devices."
IT & Technical Support,Access & Connectivity,How do I update my Wi-Fi profile?,Update in IT portal.
IT & Technical Support,Access & Connectivity,"My Wi-Fi shows “Unknown Network”, what should I do?",Restart device and reconnect.
IT & Technical Support,Access & Connectivity,How do I check Wi-Fi signal strength on campus?,Use device Wi-Fi settings.
IT & Technical Support,Access & Connectivity,Can I connect my tablet to UTP Wi-Fi?,"Yes, register it first."
IT & Technical Support,Access & Connectivity,How do I remove old devices from Wi-Fi list?,Delete in IT portal.
IT & Technical Support,Access & Connectivity,"My Wi-Fi password isn’t working, what now?",Reset in IT portal.
IT & Technical Support,Access & Connectivity,Can I use public Wi-Fi on campus?,"No, only UTP network."
IT & Technical Support,Access & Connectivity,How do I access Wi-Fi in labs?,Use campus credentials.
IT & Technical Support,Access & Connectivity,"My Wi-Fi disconnects during video calls, what to do?",Check signal and reconnect.
IT & Technical Support,Software & Hardware,How do I install Microsoft Office provided by UTP?,Download from IT portal.
IT & Technical Support,Software & Hardware,My laptop is running slowly. What should I do?,Restart or clear files.
IT & Technical Support,Software & Hardware,How can I access MATLAB for my courses?,Download from IT portal.
IT & Technical Support,Software & Hardware,Can I get help if my laptop won't start?,Contact IT support.
IT & Technical Support,Software & Hardware,How do I update my antivirus software on campus devices?,Use IT updater.
IT & Technical Support,Software & Hardware,Where can I print documents from my laptop?,Use campus printers.
IT & Technical Support,Software & Hardware,My software license expired. How do I renew it?,Renew in IT portal.
IT & Technical Support,Software & Hardware,Can I borrow a laptop from UTP IT support?,"Yes, check IT helpdesk."
IT & Technical Support,Software & Hardware,How do I recover deleted files from my student account?,Check cloud backup.
IT & Technical Support,Software & Hardware,Why can't I install software on my university laptop?,Contact IT for permission.
IT & Technical Support,Software & Hardware,How do I connect a USB device to campus computers?,Plug in and follow prompts.
IT & Technical Support,Software & Hardware,Can I get help if my printer is not working?,Contact IT support.
IT & Technical Support,Software & Hardware,How do I update my laptop operating system?,Use built-in updater.
IT & Technical Support,Software & Hardware,Is there free software for students?,Check IT portal.
IT & Technical Support,Software & Hardware,How do I install antivirus on my personal laptop?,Use IT software.
IT & Technical Support,Software & Hardware,Where can I find tutorials for campus software?,IT portal has guides.
IT & Technical Support,Software & Hardware,How do I connect a projector to my laptop in classrooms?,Follow instructions in room.
IT & Technical Support,Software & Hardware,"My laptop screen is flickering, what should I do?",Restart or contact IT.
IT & Technical Support,Software & Hardware,Can I access campus software from home?,"Yes, via VPN or IT portal."
IT & Technical Support,Software & Hardware,How do I request new software for my course?,Submit request in IT portal.
IT & Technical Support,Software & Hardware,How do I install Zoom on campus computers?,Download from IT portal.
IT & Technical Support,Software & Hardware,Can I upgrade my laptop RAM with IT approval?,"Yes, with permission."
IT & Technical Support,Software & Hardware,How do I troubleshoot printer jams?,Follow instructions or contact IT.
IT & Technical Support,Software & Hardware,How do I connect a scanner to my laptop?,Plug in and install driver.
IT & Technical Support,Software & Hardware,How do I share files securely with classmates?,Use IT-approved cloud service.
IT & Technical Support,Software & Hardware,How do I reset my campus account password on a computer?,Use “Forgot Password” in IT portal.
IT & Technical Support,Software & Hardware,How do I request IT support?,Submit ticket via IT portal.
IT & Technical Support,Software & Hardware,"My software is crashing, what should I do?",Restart or contact IT.
IT & Technical Support,Software & Hardware,How do I install Python for my coursework?,Download via IT portal.
IT & Technical Support,Software & Hardware,How do I check if my laptop meets course software requirements?,Compare specs with IT portal guide.
IT & Technical Support,Software & Hardware,Can IT help me recover a corrupted file?,"Yes, submit a ticket."
IT & Technical Support,Software & Hardware,How do I install AutoCAD on my laptop?,Download from IT portal.
IT & Technical Support,Software & Hardware,How do I request a new email alias?,Submit request in IT portal.
IT & Technical Support,Software & Hardware,"My laptop battery drains fast, what should I do?",Check power settings or IT.
IT & Technical Support,Software & Hardware,Can I get a software license for personal use?,Only via IT portal.
IT & Technical Support,Software & Hardware,How do I connect to the campus VPN on Linux?,Follow IT Linux VPN guide.
IT & Technical Support,Software & Hardware,Can IT help with hardware repairs?,"Yes, visit IT helpdesk."
IT & Technical Support,Software & Hardware,How do I install Adobe Creative Cloud?,Download from IT portal.
"Health, Safety & Emergency",Health,How do I make an appointment at the UTP Health Centre?,Call or book online via the Health Centre portal.
"Health, Safety & Emergency",Health,What are the operating hours of the UTP clinic?,The clinic is open from 8 AM to 5 PM on weekdays.
"Health, Safety & Emergency",Health,Can I see a doctor without an appointment?,"Walk-ins are accepted, but waiting times may apply."
"Health, Safety & Emergency",Health,How do I get a medical certificate?,Request it from the doctor after consultation.
"Health, Safety & Emergency",Health,Is there a nurse available at the Health Centre?,"Yes, nurses are available during clinic hours."
"Health, Safety & Emergency",Health,How do I get vaccinated on campus?,Book an appointment at the Health Centre.
"Health, Safety & Emergency",Health,Can I get a COVID-19 test on campus?,"Yes, testing is available at the Health Centre."
"Health, Safety & Emergency",Health,How do I report a food allergy issue in campus dining?,Inform the Health Centre or the cafeteria staff.
"Health, Safety & Emergency",Health,Are mental health services available at UTP?,"Yes, counselling and support are offered at the Health Centre."
"Health, Safety & Emergency",Health,How do I book a counselling session?,Book via the Health Centre portal or call directly.
"Health, Safety & Emergency",Health,Can international students access the Health Centre?,"Yes, all students can access services."
"Health, Safety & Emergency",Health,Are medications available at the campus clinic?,Basic medications are provided on prescription.
"Health, Safety & Emergency",Health,How do I get emergency medical help on campus?,Call the Health Centre or campus security immediately.
"Health, Safety & Emergency",Health,Is the Health Centre covered by student insurance?,"Yes, basic services are covered for enrolled students."
"Health, Safety & Emergency",Health,Can I get a check-up before exams?,"Yes, book an appointment with the Health Centre."
"Health, Safety & Emergency",Health,How do I request a blood test?,Book through the Health Centre.
"Health, Safety & Emergency",Health,Can the Health Centre provide physiotherapy?,"Yes, limited physiotherapy services are available."
"Health, Safety & Emergency",Health,How do I get medical advice after clinic hours?,Call campus security or use the emergency hotline.
"Health, Safety & Emergency",Health,Can I get a flu vaccine on campus?,"Yes, during vaccination campaigns."
"Health, Safety & Emergency",Health,How do I report an outbreak of illness?,Inform the Health Centre immediately.
"Health, Safety & Emergency",Health,Is there a dentist on campus?,Dental services are available through scheduled visits.
"Health, Safety & Emergency",Health,How do I book an eye check-up?,Contact the Health Centre for referral.
"Health, Safety & Emergency",Health,Can I get physiotherapy for sports injuries?,"Yes, available at the Health Centre."
"Health, Safety & Emergency",Health,How do I get mental health support for stress?,Book counselling at the Health Centre.
"Health, Safety & Emergency",Health,Are health workshops held on campus?,"Yes, check Health Centre announcements."
"Health, Safety & Emergency",Health,Can I get travel vaccinations here?,"Yes, some travel vaccines are available by appointment."
"Health, Safety & Emergency",Health,How do I get a prescription refill?,Request it at the Health Centre.
"Health, Safety & Emergency",Health,Are health services free for students?,Basic services are free; some tests may have fees.
"Health, Safety & Emergency",Health,Can I access my medical records online?,"Yes, via the Health Centre portal."
"Health, Safety & Emergency",Health,How do I get tested for chronic conditions?,Book a lab test at the Health Centre.
"Health, Safety & Emergency",Health,Are vaccination records kept on campus?,"Yes, all student records are maintained."
"Health, Safety & Emergency",Health,How do I report a contagious illness?,Inform the Health Centre immediately.
"Health, Safety & Emergency",Health,Can I consult a doctor virtually?,"Yes, telemedicine is available for students."
"Health, Safety & Emergency",Health,How do I get help for sleep problems?,Book a session with the Health Centre counsellor.
"Health, Safety & Emergency",Health,Can I get nutritional advice on campus?,"Yes, available via Health Centre services."
"Health, Safety & Emergency",Health,How do I access student health insurance?,Register via the Student Affairs office.
"Health, Safety & Emergency",Health,Is there support for students with chronic illness?,"Yes, through the Health Centre."
"Health, Safety & Emergency",Health,How do I report a health emergency in class?,Call campus security or the Health Centre immediately.
"Health, Safety & Emergency",Health,Are there health awareness campaigns?,"Yes, organized by the Health Centre periodically."
"Health, Safety & Emergency",Health,How do I request a specialist referral?,Book through the Health Centre doctor.
"Health, Safety & Emergency",Health,Can I get first aid training on campus?,"Yes, workshops are organized periodically."
"Health, Safety & Emergency",Health,How do I deal with minor injuries on campus?,Visit the Health Centre for first aid.
"Health, Safety & Emergency",Health,Can I get vaccination updates from the Health Centre?,"Yes, check announcements online."
"Health, Safety & Emergency",Health,Are there allergy-friendly food options?,"Yes, available in selected cafés."
"Health, Safety & Emergency",Health,How do I book a COVID-19 booster shot?,Schedule via the Health Centre portal.
"Health, Safety & Emergency",Health,Can I get counselling for exam stress?,"Yes, book a session at the Health Centre."
"Health, Safety & Emergency",Health,How do I report food poisoning?,Contact the Health Centre immediately.
"Health, Safety & Emergency",Health,Are health tips shared online?,"Yes, through the Health Centre’s social media."
"Health, Safety & Emergency",Health,Can I get help for headaches or migraines?,Visit the Health Centre for consultation.
"Health, Safety & Emergency",Health,How do I check if a medication is available?,Call or check the Health Centre portal.
"Health, Safety & Emergency",Health,Can students with disabilities get health support?,"Yes, services are available at the Health Centre."
"Health, Safety & Emergency",Health,How do I report a sports injury?,Inform the Health Centre immediately.
"Health, Safety & Emergency",Health,Can I get reproductive health advice on campus?,"Yes, through counselling sessions."
"Health, Safety & Emergency",Safety,How do I report a fire on campus?,Call the emergency hotline immediately.
"Health, Safety & Emergency",Safety,Where are the fire extinguishers located?,They are placed in every building and hallway.
"Health, Safety & Emergency",Safety,Are emergency exits clearly marked?,"Yes, all exits are marked with signs."
"Health, Safety & Emergency",Safety,How do I contact campus security?,Call the security hotline or visit their office.
"Health, Safety & Emergency",Safety,What should I do in case of an earthquake?,Follow evacuation procedures and go to safe areas.
"Health, Safety & Emergency",Safety,Are first aid kits available on campus?,"Yes, in all academic and residential buildings."
"Health, Safety & Emergency",Safety,How do I report a suspicious person?,Contact campus security immediately.
"Health, Safety & Emergency",Safety,Are fire drills conducted regularly?,"Yes, drills are scheduled periodically."
"Health, Safety & Emergency",Safety,How do I evacuate during a fire alarm?,Follow exit signs and staff instructions.
"Health, Safety & Emergency",Safety,Where is the nearest defibrillator?,Locations are listed in each building.
"Health, Safety & Emergency",Safety,Can I get self-defense training on campus?,"Yes, workshops are occasionally offered."
"Health, Safety & Emergency",Safety,How do I report a campus accident?,Contact security or Health Centre immediately.
"Health, Safety & Emergency",Safety,Are there CCTV cameras on campus?,"Yes, in most public areas."
"Health, Safety & Emergency",Safety,How do I report unsafe facilities?,Submit a report to campus maintenance or security.
"Health, Safety & Emergency",Safety,What should I do if I see a chemical spill?,Evacuate the area and notify security.
"Health, Safety & Emergency",Safety,How do I report harassment or bullying?,Contact campus security or student affairs.
"Health, Safety & Emergency",Safety,Are there emergency call points on campus?,"Yes, blue emergency phones are available."
"Health, Safety & Emergency",Safety,How do I prepare for a storm warning?,Follow alerts and stay indoors if advised.
"Health, Safety & Emergency",Safety,How do I report a lost or stolen item?,Inform security immediately.
"Health, Safety & Emergency",Safety,Are there safety escorts at night?,"Yes, campus security provides escort services."
"Health, Safety & Emergency",Safety,How do I report a broken door or window?,Notify campus maintenance.
"Health, Safety & Emergency",Safety,Can I access emergency numbers online?,"Yes, posted on UTP portal and notice boards."
"Health, Safety & Emergency",Safety,Are fire alarms tested regularly?,"Yes, according to safety regulations."
"Health, Safety & Emergency",Safety,How do I know the emergency evacuation route?,Maps are displayed in every building.
"Health, Safety & Emergency",Safety,Who do I contact in case of flooding?,Contact security or maintenance immediately.
"Health, Safety & Emergency",Safety,Are there safety workshops for students?,"Yes, periodically organized by security."
"Health, Safety & Emergency",Safety,How do I report a power outage?,Inform campus maintenance or security.
"Health, Safety & Emergency",Safety,What do I do if someone faints on campus?,Call Health Centre or security for help.
"Health, Safety & Emergency",Safety,How do I report a lab accident?,Notify lab supervisor and Health Centre.
"Health, Safety & Emergency",Safety,Are there evacuation plans in dorms?,"Yes, posted in all residential buildings."
"Health, Safety & Emergency",Safety,How do I report unsafe behavior in labs?,Contact lab supervisor or security.
"Health, Safety & Emergency",Safety,What should I do if I smell gas on campus?,Evacuate and call security immediately.
"Health, Safety & Emergency",Safety,Are there guidelines for fire safety in dorms?,"Yes, posted in all rooms and common areas."
"Health, Safety & Emergency",Safety,How do I report harassment on the shuttle bus?,Contact campus security.
"Health, Safety & Emergency",Safety,Are there emergency exits in the library?,"Yes, clearly marked."
"Health, Safety & Emergency",Safety,How do I report a road accident on campus?,Call security immediately.
"Health, Safety & Emergency",Safety,Can I get training on using fire extinguishers?,"Yes, training sessions are available."
"Health, Safety & Emergency",Safety,Are emergency procedures posted in classrooms?,"Yes, in every classroom."
"Health, Safety & Emergency",Safety,What should I do during a lightning storm?,Stay indoors and avoid open areas.
"Health, Safety & Emergency",Safety,How do I report a water leakage in a building?,Contact maintenance immediately.
"Health, Safety & Emergency",Safety,Are there emergency drills for earthquakes?,"Yes, conducted periodically."
"Health, Safety & Emergency",Safety,How do I report a medical emergency at night?,Call security or emergency hotline.
"Health, Safety & Emergency",Safety,Are safety signs available in labs?,"Yes, clearly displayed."
"Health, Safety & Emergency",Safety,How do I report fire safety violations?,Contact security or safety office.
"Health, Safety & Emergency",Safety,Are residential areas monitored for safety?,"Yes, security patrols regularly."
"Health, Safety & Emergency",Safety,Can I request a safety escort late at night?,"Yes, contact campus security."
"Health, Safety & Emergency",Safety,How do I know the nearest emergency assembly point?,Posted on building notice boards.
"Health, Safety & Emergency",Safety,How do I report broken safety equipment?,Notify maintenance or security.
"Health, Safety & Emergency",Safety,Are there workshops on personal safety?,"Yes, periodically conducted."
